,accuracy,f1_score,transfer_learning,deep_learning,model_type,depth,num_params,optimizer,memory_size
89,0.8861347792408986,0.8860722307326235,,True,Sequential,16.0,3811619.0,Adam,15249704.0
190,0.7869868319132456,0.7821661135623552,,True,Sequential,5.0,7086467.0,Adam,28346968.0
191,0.7877614252517429,0.7891253638438487,,True,Sequential,10.0,999715.0,Adam,4000936.0
268,0.7195972114639814,0.7198082217158287,,True,Sequential,5.0,7086467.0,Adam,28346968.0
318,0.6289697908597986,0.5350052561146263,,True,Sequential,10.0,999715.0,Adam,4000936.0
374,0.3338497288923315,0.1668602400309717,,True,Sequential,16.0,3811619.0,Adam,15249712.0
385,0.3330751355538342,0.1665698237458841,,True,Functional,22.0,16779523.0,Adam,67122440.0
388,0.3330751355538342,0.1665698237458841,,True,Functional,22.0,16779523.0,Adam,67122464.0
409,0.3330751355538342,0.1665698237458841,,True,Sequential,9.0,18898977.0,Adam,75597408.0
415,0.3330751355538342,0.1665698237458841,,True,Sequential,9.0,18898977.0,Adam,75597408.0
