,accuracy,f1_score,depth,num_params,optimizer,memory_size
83,0.7925356750823271,0.7905815900955633,5.0,174658.0,RMSprop,699936.0
84,0.7936333699231614,0.7925110729896587,5.0,174658.0,RMSprop,699936.0
162,0.7760702524698134,0.773912408759124,5.0,174658.0,RMSprop,699936.0
187,0.7749725576289791,0.7740567196212723,3.0,161282.0,RMSprop,645600.0
219,0.7639956092206367,0.7623415782416929,5.0,161294.0,RMSprop,646160.0
303,0.7047200878155873,0.7001885298950178,10.0,162170.0,RMSprop,650480.0
315,0.6992316136114161,0.6972878708500688,10.0,162170.0,RMSprop,650480.0
333,0.6871569703622393,0.6820010655692528,10.0,162170.0,RMSprop,650480.0
344,0.6739846322722283,0.6731512856288618,10.0,162170.0,RMSprop,650480.0
346,0.6542261251372119,0.6311205149003067,5.0,174658.0,RMSprop,699936.0
422,0.5005488474204172,0.3335771762984638,4.0,1320065.0,RMSprop,5281008.0
427,0.5005488474204172,0.3335771762984638,4.0,1320065.0,RMSprop,5281008.0
428,0.5005488474204172,0.3335771762984638,4.0,1320065.0,RMSprop,5281008.0
430,0.5005488474204172,0.3335771762984638,4.0,1320065.0,RMSprop,5281008.0
