,accuracy,f1_score,precision,recall,ml_framework,model_type,username,timestamp,version
40,0.5294117647058824,0.496120984278879,0.6777777777777777,0.5378571428571428,sklearn,GradientBoostingClassifier,lprockop,2023-02-03 21:06:32.633284,246
161,0.4705882352941176,0.4693815987933634,0.6328205128205128,0.4842857142857142,sklearn,GradientBoostingClassifier,lprockop,2023-01-31 22:43:05.553645,19
164,0.4705882352941176,0.4693815987933634,0.6328205128205128,0.4842857142857142,sklearn,GradientBoostingClassifier,lprockop,2023-02-02 22:21:28.005441,143
202,0.5,0.4957070707070706,0.5759829059829059,0.5242857142857142,sklearn,SVC,lprockop,2023-02-06 19:07:27.821977,499
249,0.4705882352941176,0.4406349206349206,0.6439393939393938,0.4957142857142857,sklearn,RandomForestClassifier,lprockop,2023-01-31 22:42:08.360418,13
305,0.4411764705882353,0.437124183006536,0.6283333333333333,0.4442857142857143,sklearn,GradientBoostingClassifier,lprockop,2023-02-03 19:31:15.663887,230
417,0.4705882352941176,0.446762360446571,0.5628205128205128,0.4842857142857142,sklearn,RandomForestClassifier,lprockop,2023-02-06 19:03:43.939191,498
528,0.4411764705882353,0.4445670995670996,0.5055555555555555,0.4407142857142857,sklearn,BaggingClassifier,lprockop,2023-02-06 19:11:32.853546,501
531,0.4411764705882353,0.4422898669957493,0.5033333333333333,0.4557142857142857,sklearn,SVC,lprockop,2023-02-07 21:41:44.527334,919
593,0.4411764705882353,0.4215060824967945,0.5161904761904762,0.4557142857142857,sklearn,RandomForestClassifier,lprockop,2023-01-31 22:41:02.920352,9
722,0.4117647058823529,0.406060606060606,0.5,0.4385714285714286,sklearn,KNeighborsClassifier,lprockop,2023-02-07 21:39:12.669094,910
727,0.4117647058823529,0.4110955710955711,0.4794871794871794,0.4271428571428571,sklearn,SVC,lprockop,2023-02-07 21:35:10.533557,881
732,0.3823529411764705,0.3677272727272728,0.5405982905982907,0.3985714285714286,sklearn,GradientBoostingClassifier,lprockop,2023-01-31 22:44:34.947907,28
760,0.4411764705882353,0.3610047846889953,0.5088235294117648,0.4785714285714285,sklearn,RandomForestClassifier,lprockop,2023-01-31 22:40:09.620017,6
